Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,14,2,Some Random Commen with Id 0
1,0,5,33,8,Some Random Commen with Id 1
2,0,5,110,9,Some Random Commen with Id 2
3,0,5,134,9,Some Random Commen with Id 3
4,0,5,167,6,Some Random Commen with Id 4
5,0,5,198,7,Some Random Commen with Id 5
6,1,5,154,4,Some Random Commen with Id 6
7,1,5,106,5,Some Random Commen with Id 7
8,1,5,65,0,Some Random Commen with Id 8
9,1,5,114,4,Some Random Commen with Id 9
10,1,5,155,6,Some Random Commen with Id 10
11,1,5,99,2,Some Random Commen with Id 11
12,1,5,137,0,Some Random Commen with Id 12
13,2,3,46,6,Some Random Commen with Id 13
14,2,3,7,1,Some Random Commen with Id 14
15,2,3,14,8,Some Random Commen with Id 15
16,2,3,93,1,Some Random Commen with Id 16
17,2,3,178,5,Some Random Commen with Id 17
18,2,3,165,2,Some Random Commen with Id 18
19,2,3,93,6,Some Random Commen with Id 19
20,2,3,34,5,Some Random Commen with Id 20
21,2,3,127,3,Some Random Commen with Id 21
22,3,1,59,7,Some Random Commen with Id 22
23,3,1,117,4,Some Random Commen with Id 23
24,3,1,70,3,Some Random Commen with Id 24
25,3,1,146,3,Some Random Commen with Id 25
26,3,1,119,6,Some Random Commen with Id 26
27,3,1,151,0,Some Random Commen with Id 27
28,3,1,181,1,Some Random Commen with Id 28
29,3,1,73,1,Some Random Commen with Id 29
30,4,0,96,5,Some Random Commen with Id 30
31,4,0,2,0,Some Random Commen with Id 31
32,4,0,146,7,Some Random Commen with Id 32
33,5,9,22,4,Some Random Commen with Id 33
34,6,9,115,7,Some Random Commen with Id 34
35,6,9,149,0,Some Random Commen with Id 35
36,6,9,94,6,Some Random Commen with Id 36
37,6,9,184,5,Some Random Commen with Id 37
38,6,9,170,7,Some Random Commen with Id 38
39,6,9,66,9,Some Random Commen with Id 39
40,6,9,71,3,Some Random Commen with Id 40
41,6,9,0,4,Some Random Commen with Id 41
